BKIndex;Flag;FKS;AP;BGrp;BFeld;Sortierung;Status;Beschreibung;Beschreibung_W;geaendert;Beschreibung_MW;BAKLALT;BAGRALT;BAKL;BAGR;Ebene1;Ebene2;Ebene3;Flag_APOBK
220;3;101;02;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Floristik;FS Agrarwirtschaft Gartenbau - Floristik;2012-03-21 14:41:42;FS Agrarwirtschaft Gartenbau - Floristik;05;0530;*****;********;**;**;**;1
220;3;101;03;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Friedhofsgärtnerei;FS Agrarwirtschaft Gartenbau - Friedhofsgärtnerei;2013-01-25 09:20:42;FS Agrarwirtschaft Gartenbau - Friedhofsgärtnerei;05;0518;*****;1219303;**;**;**;1
220;3;101;04;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Garten- und Landschaftsbau;FS Agrarwirtschaft Gartenbau - Garten- und Landschaftsbau;2013-01-25 09:20:52;FS Agrarwirtschaft Gartenbau - Garten- und Landschaftsbau;05;0511;*****;1219304;**;**;**;1
220;3;101;05;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Gemüsebau;FS Agrarwirtschaft Gartenbau - Gemüsebau;2012-03-21 14:41:46;FS Agrarwirtschaft Gartenbau - Gemüsebau;05;0515;*****;********;**;**;**;1
220;3;101;06;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Obstbau;FS Agrarwirtschaft Gartenbau - Obstbau;2012-03-21 14:41:51;FS Agrarwirtschaft Gartenbau - Obstbau;05;0516;*****;********;**;**;**;1
220;3;101;09;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Produktion und Vermarktung;FS Agrarwirtschaft Gartenbau - Produktion und Vermarktung;2012-03-21 14:42:17;FS Agrarwirtschaft Gartenbau - Produktion und Vermarktung;05;0510;*****;********;**;**;**;1
220;3;101;07;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Staudengärtnerei;FS Agrarwirtschaft Gartenbau - Staudengärtnerei;2012-03-21 14:41:56;FS Agrarwirtschaft Gartenbau - Staudengärtnerei;05;0513;*****;********;**;**;**;1
220;3;101;08;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Gartenbau - Zierpflanzenbau;FS Agrarwirtschaft Gartenbau - Zierpflanzenbau;2013-01-25 09:21:07;FS Agrarwirtschaft Gartenbau - Zierpflanzenbau;05;0513;*****;1219308;**;**;**;1
220;1;101;10;A;AW;460;********************;FS Agrarwirtschaft/Gartenbau Stufe I - Dienstleistungsgartenbau;FS Agrarwirtschaft/Gartenbau Stufe I - Dienstleistungsgartenbau;2014-12-16 15:32:36;FS Agrarwirtschaft/Gartenbau Stufe I - Dienstleistungsgartenbau;05;0524;*****;1219309;AW;GB;DG;1
220;1;101;12;A;AW;460;********************;FS Agrarwirtschaft/Gartenbau Stufe I - Produktion und Vermarktung;FS Agrarwirtschaft/Gartenbau Stufe I - Produktion und Vermarktung;2014-12-16 15:33:13;FS Agrarwirtschaft/Gartenbau Stufe I - Produktion und Vermarktung;05;0524;*****;1219309;AW;GB;PV;1
220;1;101;11;A;AW;460;********************;FS Agrarwirtschaft/Gartenbau Stufe II - Dienstleistungsgartenbau;FS Agrarwirtschaft/Gartenbau Stufe II - Dienstleistungsgartenbau;2014-12-16 15:32:58;FS Agrarwirtschaft/Gartenbau Stufe II - Dienstleistungsgartenbau;05;0524;*****;1119302;AW;GB;DG;1
220;1;101;13;A;AW;460;********************;FS Agrarwirtschaft/Gartenbau Stufe II - Produktion und Vermarktung;FS Agrarwirtschaft/Gartenbau Stufe II - Produktion und Vermarktung;2014-12-16 15:33:34;FS Agrarwirtschaft/Gartenbau Stufe II - Produktion und Vermarktung;05;0524;*****;1119302;AW;GB;PV;1
220;3;102;01;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe I;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe I;2012-03-21 08:48:31;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe I;92;9212;*****;********;**;**;**;1
220;3;102;02;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe II;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe II;2006-01-17 11:23:44;FS Agrarwirtschaft Ländliche Hauswirtschaft Stufe II;92;9212;*****;********;**;**;**;1
220;1;104;03;A;AW;460;Schulversuch;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Agrarservice;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Agrarservice;2014-12-16 15:36:33;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Agrarservice;**;****;*****;1119301;AW;LW;AS;1
220;1;104;01;A;AW;460;********************;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Ökologischer Landbau;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Ökologischer Landbau;2014-12-16 15:34:07;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule) - Ökologischer Landbau;01;0110;*****;1119302;AW;LW;OL;1
220;1;103;01;A;AW;460;********************;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule);FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule);2014-12-16 15:33:56;FS Agrarwirtschaft/Landwirtschaft Stufe I (Landwirtschaftsschule);01;0110;*****;1119304;AW;LW;**;1
220;1;104;02;A;AW;460;********************;FS Agrarwirtschaft/Landwirtschaft Stufe II (Höhere Landbauschule) - Ökologischer Landbau;FS Agrarwirtschaft/Landwirtschaft Stufe II (Höhere Landbauschule) - Ökologischer Landbau;2014-12-16 15:34:19;FS Agrarwirtschaft/Landwirtschaft Stufe II (Höhere Landbauschule) - Ökologischer Landbau;01;0110;*****;1119302;AW;LW;OL;1
220;3;103;02;A;AW;460;Ausgelaufen;FS Agrarwirtschaft Landwirtschaft Stufe II (Höhere Landbauschule);FS Agrarwirtschaft Landwirtschaft Stufe II (Höhere Landbauschule);2012-03-21 14:42:43;FS Agrarwirtschaft Landwirtschaft Stufe II (Höhere Landbauschule);01;0110;*****;********;**;**;**;1
220;3;123;00;A;AW;460;Ausgelaufen;FS Agrarwirtschaft/Städtische Hauswirtschaft - Großhaushalt;FS Agrarwirtschaft/Städtische Hauswirtschaft - Großhaushalt;2006-01-17 11:24:41;FS Agrarwirtschaft/Städtische Hauswirtschaft - Großhaushalt;92;9212;*****;********;**;**;**;1
220;1;105;00;E;EH;460;********************;FS Ernährungs- und Versorgungsmanagement/Großhaushalt Stufe I;FS Ernährungs- und Versorgungsmanagement/Großhaushalt Stufe I;2014-12-16 15:36:55;FS Ernährungs- und Versorgungsmanagement/Großhaushalt Stufe I;92;9212;*****;8321305;EV;GO;**;1
220;1;106;00;S;SG;460;********************;FS Sozialwesen/Aufb.gang f. Abs. v. FS - Sozialmanagement;FS Sozialwesen/Aufb.gang f. Abs. v. FS - Sozialmanagement;2014-12-16 15:37:42;FS Sozialwesen/Aufb.gang f. Abs. v. FS - Sozialmanagement;98;9898;*****;7322303;SW;SM;**;1
220;1;143;00;S;SG;460;********************;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung und Schulvorbereitung in Tageseinr. für Kinder;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung und Schulvorbereitung in Tageseinr. für Kinder;2017-02-14 13:39:33;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung und Schulvorbereitung in Tageseinr. für Kinder;86;8631;*****;8312301;SW;BS;**;1
220;1;138;00;S;SG;460;********************;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung, Erziehung u. Betreuung in Tageseinr. f. Kinder;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung, Erziehung u. Betreuung in Tageseinr. f. Kinder;2017-02-14 13:39:52;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Bildung, Erziehung u. Betreuung in Tageseinr. f. Kinder;86;8611;*****;8312301;SW;BE;**;1
220;1;130;00;S;SG;460;********************;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Musikalische Förderung im sozialpädag. Arbeitsfeld;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Musikalische Förderung im sozialpädag. Arbeitsfeld;2017-02-14 13:24:46;FS Sozialwesen/Aufbaubg.  f. Abs. v. FS - Musikalische Förderung im sozialpädag. Arbeitsfeld;98;9898;*****;8312301;SW;MF;**;1
220;1;131;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang Bewegung und Gesundheit (Bewegungsförderung);FS Sozialwesen/Aufbaubildungsgang Bewegung und Gesundheit (Bewegungsförderung);2017-02-14 13:24:53;FS Sozialwesen/Aufbaubildungsgang Bewegung und Gesundheit (Bewegungsförderung);98;9898;*****;8312301;SW;BG;**;1
220;1;127;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Medienkompetenz in der Kinder- u. Jugendhilfe;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Medienkompetenz in der Kinder- u. Jugendhilfe;2017-02-14 13:25:30;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Medienkompetenz in der Kinder- u. Jugendhilfe;98;9898;*****;8312301;SW;MK;**;1
220;1;132;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Naturwissenschaftlich-techn. Früherziehung;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Naturwissenschaftlich-techn. Früherziehung;2017-02-14 13:25:44;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Naturwissenschaftlich-techn. Früherziehung;98;9898;*****;8312301;SW;NF;**;1
220;3;135;00;S;SG;460;Ausgelaufen;FS Sozialwesen - Aufbaubildungsgang f. Abs. v. FS - Religiöse Erziehung im Kindes- und Jugendalter;FS Sozialwesen - Aufbaubildungsgang f. Abs. v. FS - Religiöse Erziehung im Kindes- und Jugendalter;2012-03-21 14:43:27;FS Sozialwesen - Aufbaubildungsgang f. Abs. v. FS - Religiöse Erziehung im Kindes- und Jugendalter;98;9898;*****;********;**;**;**;1
220;1;134;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Offene Ganztagsschule;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Offene Ganztagsschule;2017-02-14 13:26:09;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Offene Ganztagsschule;98;9898;*****;8312301;SW;OG;**;1
220;1;133;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Praxisanleitung;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Praxisanleitung;2017-02-14 13:26:35;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Praxisanleitung;98;9898;*****;7334299;SW;PA;**;1
220;1;125;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Sprachförderung;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Sprachförderung;2017-02-14 13:27:10;FS Sozialwesen/Aufbaubildungsgang f. Abs. v. FS - Sprachförderung;98;9898;*****;8312301;SW;SF;**;1
220;3;129;00;S;SG;460;Ausgelaufen;FS Sozialwesen - Aufbaubildungsgang f. staatlich geprüfte Erzieher;FS Sozialwesen - Aufbaubildungsgang f. staatlich geprüfte Erzieherinnen;2014-12-01 13:06:19;FS Sozialwesen - Aufbaubildungsgang f. staatlich geprüfte Erzieher/-innen;98;9898;*****;7322303;**;**;**;1
220;1;140;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang Fachkraft für heilpäd. Förderung mit dem Pferd;FS Sozialwesen/Aufbaubildungsgang Fachkraft für heilpäd. Förderung mit dem Pferd;2017-02-14 13:18:58;FS Sozialwesen/Aufbaubildungsgang Fachkraft für heilpäd. Förderung mit dem Pferd;98;9898;*****;8313402;SW;HF;**;1
220;1;141;00;S;SG;460;********************;FS Sozialwesen/Aufbaubildungsgang zur Fachkraft für Beratung und Anleitung in der Pflege;FS Sozialwesen/Aufbaubildungsgang zur Fachkraft für Beratung und Anleitung in der Pflege;2014-12-16 15:42:01;FS Sozialwesen/Aufbaubildungsgang zur Fachkraft für Beratung und Anleitung in der Pflege;86;8610;*****;7322303;SW;BA;**;1
220;3;107;00;S;SG;460;Ausgelaufen;FS Sozialwesen - Heilerziehungshilfe;FS Sozialwesen - Heilerziehungshilfe;2006-01-17 11:27:01;FS Sozialwesen - Heilerziehungshilfe;86;8687;*****;********;**;**;**;1
220;1;108;00;S;MO;460;********************;FS Sozialwesen/Motopädie;FS Sozialwesen/Motopädie;2014-12-16 15:37:17;FS Sozialwesen/Motopädie;85;8525;*****;8171302;SW;MI;**;1
220;1;137;00;T;TC;460;********************;FS Technik/Aufbaubildungsgang Augenoptik;FS Technik/Aufbaubildungsgang Augenoptik;2013-01-21 13:51:01;FS Technik/Aufbaubildungsgang Augenoptik;98;9898;*****;2132302;TE;AA;**;1
220;3;124;00;T;TC;460;Ausgelaufen;"FS Technik/Aufbaubildungsgang ""Gießereitechnik"" f. staatl. gepr. Techniker";"FS Technik/Aufbaubildungsgang ""Gießereitechnik"" f. staatl. gepr. Technikerinnen";2013-01-24 09:26:40;"FS Technik/Aufbaubildungsgang ""Gießereitechnik"" f. staatl. gepr. Techniker/-innen";98;9898;*****;********;**;**;**;1
220;3;128;00;T;TC;460;Ausgelaufen;"FS Technik/Aufbaubildungsgang ""Technisches Wirtschaftsmanagement"" f. staatl. gepr. Techniker";"FS Technik/Aufbaubildungsgang ""Technisches Wirtschaftsmanagement"" f. staatl. gepr. Technikerinnen";2013-01-24 09:26:23;"FS Technik/Aufbaubildungsgang ""Technisches Wirtschaftsmanagement"" f. staatl. gepr. Techniker/-innen";98;9898;*****;********;**;**;**;1
220;3;109;00;T;TC;460;Ausgelaufen;FS Technik/Aufbaubildungsgang Energiemanagement f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Energiemanagement f. staatl. gepr. Technikerinnen;2013-01-24 09:28:32;FS Technik/Aufbaubildungsgang Energiemanagement f. staatl. gepr. Techniker/-innen;98;9898;*****;********;**;**;**;1
220;1;110;00;T;TC;460;********************;FS Technik/Aufbaubildungsgang Existenzgründung f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Existenzgründung f. staatl. gepr. Technikerinnen;2013-01-21 13:46:04;FS Technik/Aufbaubildungsgang Existenzgründung f. staatl. gepr. Techniker/-innen;98;9898;*****;7130314;TE;XT;**;1
220;3;111;00;T;TC;460;Ausgelaufen;FS Technik/Aufbaubildungsgang Gebäudemanagement f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Gebäudemanagement f. staatl. gepr. Technikerinnen;2013-01-24 09:26:58;FS Technik/Aufbaubildungsgang Gebäudemanagement f. staatl. gepr. Techniker/-innen;98;9898;*****;********;**;**;**;1
220;3;112;00;T;TC;460;Ausgelaufen;FS Technik/Aufbaubildungsgang Lichttechnik f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Lichttechnik f. staatl. gepr. Technikerinnen;2013-01-24 09:26:55;FS Technik/Aufbaubildungsgang Lichttechnik f. staatl. gepr. Techniker/-innen;98;9898;*****;********;**;**;**;1
220;3;113;00;T;TC;460;Ausgelaufen;FS Technik/Aufbaubildungsgang Ökologisches Bauen f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Ökologisches Bauen f. staatl. gepr. Technikerinnen;2013-01-24 09:26:51;FS Technik/Aufbaubildungsgang Ökologisches Bauen f. staatl. gepr. Techniker/-innen;98;9898;*****;********;**;**;**;1
220;3;114;00;T;TC;460;Ausgelaufen;FS Technik/Aufbaubildungsgang Qualitätsmanagement f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Qualitätsmanagement f. staatl. gepr. Technikerinnen;2013-01-24 09:26:47;FS Technik/Aufbaubildungsgang Qualitätsmanagement f. staatl. gepr. Techniker/-innen;98;9898;*****;********;**;**;**;1
220;1;115;00;T;TC;460;********************;FS Technik/Aufbaubildungsgang Technischer Umweltschutz f. staatl. gepr. Techniker;FS Technik/Aufbaubildungsgang Technischer Umweltschutz f. staatl. gepr. Technikerinnen;2013-01-21 13:51:53;FS Technik/Aufbaubildungsgang Technischer Umweltschutz f. staatl. gepr. Techniker/-innen;98;9898;*****;4220302;TE;TU;**;1
220;3;116;00;W;WI;460;Ausgelaufen;FS Wirtschaft/Aufbaubildungsgang f. Absolv. v. FS - Technik;FS Wirtschaft/Aufbaubildungsgang f. Absolv. v. FS - Technik;2006-07-28 10:23:33;FS Wirtschaft/Aufbaubildungsgang f. Absolv. v. FS - Technik;98;9898;*****;********;**;**;**;1
220;3;120;00;W;WI;460;Ausgelaufen;FS Wirtschaft/Aufbaubildungsgang Informations- u. Telekommunikationswirtschaft;FS Wirtschaft/Aufbaubildungsgang Informations- u. Telekommunikationswirtschaft;2012-03-21 14:45:59;FS Wirtschaft/Aufbaubildungsgang Informations- u. Telekommunikationswirtschaft;98;9898;*****;********;**;**;**;1
220;3;139;00;W;WI;460;Ausgelaufen;FS Wirtschaft/Aufbaubildungsgang International Business Communication;FS Wirtschaft/Aufbaubildungsgang International Business Communication;2012-03-21 14:47:32;FS Wirtschaft/Aufbaubildungsgang International Business Communication;98;9898;*****;********;**;**;**;1
220;3;136;00;W;WI;460;Ausgelaufen;FS Wirtschaft/Aufbaubildungsgang Internationale Rechnungslegung und Besteuerung;FS Wirtschaft/Aufbaubildungsgang Internationale Rechnungslegung und Besteuerung;2012-03-21 14:47:13;FS Wirtschaft/Aufbaubildungsgang Internationale Rechnungslegung und Besteuerung;98;9898;*****;********;**;**;**;1
220;1;117;00;W;WI;460;********************;FS Wirtschaft/Aufbaubildungsgang f. staatl. gepr. Techn. - Betriebswirtschaft;FS Wirtschaft/Aufbaubildungsgang f. staatl. gepr. Techn. - Betriebswirtschaft;2015-02-24 12:16:23;FS Wirtschaft/Aufbaubildungsgang f. staatl. gepr. Techn. - Betriebswirtschaft;98;9898;*****;7130303;WI;AB;**;1
220;3;118;00;W;WI;460;Ausgelaufen;FS Wirtschaft/Aufbaulehrgang f. staatl. gepr. Techn. - Qualitätsmanagement;FS Wirtschaft/Aufbaulehrgang f. staatl. gepr. Techn. - Qualitätsmanagement;2012-03-21 14:45:43;FS Wirtschaft/Aufbaulehrgang f. staatl. gepr. Techn. - Qualitätsmanagement;98;9898;*****;********;**;**;**;1
220;1;122;00;W;WI;460;********************;FS Wirtschaft/Aufbaubildungsgang Controlling;FS Wirtschaft/Aufbaubildungsgang Controlling;2015-02-24 12:24:36;FS Wirtschaft/Aufbaubildungsgang Controlling;98;9898;*****;7221301;WI;CO;**;1
220;1;119;00;W;WI;460;********************;FS Wirtschaft/Aufbaubildungsgang Unternehmensmanagement;FS Wirtschaft/Aufbaubildungsgang Unternehmensmanagement;2015-02-24 12:24:49;FS Wirtschaft/Aufbaubildungsgang Unternehmensmanagement;98;9898;*****;7130307;WI;UM;**;1
220;1;121;00;W;WI;460;********************;FS Wirtschaft/Möbelhandel;FS Wirtschaft/Möbelhandel;2012-03-21 09:04:04;FS Wirtschaft/Möbelhandel;66;6623;*****;6128303;WI;MH;**;1
220;4;999;00;X;XX;470;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2015-08-24 15:00:50;Sonstiger Bildungsgang;**;****;*****;********;XX;XX;XX;1
220;3;999;01;X;XX;470;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2011-01-17 07:27:08;Sonstiger Bildungsgang;**;****;*****;********;**;**;**;1
230;3;103;02;S;SG;480;Ausgelaufen;"FS Sozialwesen - Familienpflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";"FS Sozialwesen - Familienpflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";2017-01-03 16:41:55;"FS Sozialwesen - Familienpflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";86;8650;*****;8314303;**;**;**;3
230;3;103;01;S;SG;480;Ausgelaufen;"FS Sozialwesen - Familienpflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";"FS Sozialwesen - Familienpflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";2015-01-05 11:57:57;"FS Sozialwesen - Familienpflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";86;8650;*****;8314303;**;**;**;3
230;3;101;00;S;SG;480;Ausgelaufen;FS Sozialwesen - Heilerziehungspflege;FS Sozialwesen - Heilerziehungspflege;2006-01-17 11:30:53;FS Sozialwesen - Heilerziehungspflege;86;8660;*****;********;**;**;**;1
230;1;101;02;S;SG;480;********************;"FS Sozialwesen/Heilerziehungspflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";"FS Sozialwesen/Heilerziehungspflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";2014-12-16 15:44:42;"FS Sozialwesen/Heilerziehungspflege (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";86;8660;*****;8313303;SW;HP;**;1
230;1;101;01;S;SG;480;********************;"FS Sozialwesen/Heilerziehungspflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";"FS Sozialwesen/Heilerziehungspflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";2014-12-16 15:44:31;"FS Sozialwesen/Heilerziehungspflege (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";86;8660;*****;8313303;SW;HP;**;1
230;3;102;00;S;SG;480;Ausgelaufen;FS Sozialwesen - Sozialpädagogik;FS Sozialwesen - Sozialpädagogik;2006-01-17 11:31:17;FS Sozialwesen - Sozialpädagogik;86;8610;*****;********;**;**;**;1
230;1;102;05;S;SG;480;********************;FS Sozialwesen/Sozialpädagogik (integrierte Form);FS Sozialwesen/Sozialpädagogik (integrierte Form);2017-02-14 15:20:31;FS Sozialwesen/Sozialpädagogik (integrierte Form);86;8610;*****;8312301;SW;SP;**;1
230;1;102;02;S;SG;480;********************;"FS Sozialwesen/Sozialpädagogik (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";"FS Sozialwesen/Sozialpädagogik (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";2017-02-14 15:20:23;"FS Sozialwesen/Sozialpädagogik (Praxis; Jahrgang 3 bei VZ, Jahrgang 5 bis 6 bei TZ)";86;8610;*****;8312301;SW;SP;**;1
230;1;102;01;S;SG;480;********************;"FS Sozialwesen/Sozialpädagogik (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";"FS Sozialwesen/Sozialpädagogik (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";2017-02-14 15:20:21;"FS Sozialwesen/Sozialpädagogik (Theorie; Jahrgang 1 und 2 bei VZ, Jahrgang 1 bis 4 bei TZ)";86;8610;*****;8312301;SW;SP;**;1
230;1;101;05;S;SG;490;********************;FS Sozialwesen/Heilerziehungspflege (integrierte Form);FS Sozialwesen/Heilerziehungspflege (integrierte Form);2014-12-16 15:45:08;FS Sozialwesen/Heilerziehungspflege (integrierte Form);86;8660;*****;8313303;SW;HP;**;1
230;3;999;01;S;SG;490;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2011-05-05 09:57:24;Sonstiger Bildungsgang;**;****;*****;********;**;**;**;1
230;4;999;00;S;SG;490;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2015-08-24 15:01:15;Sonstiger Bildungsgang;**;****;*****;********;XX;XX;XX;1
240;3;101;00;S;SG;500;Ausgelaufen;FS Sozialwesen - Heilerziehungspflege;FS Sozialwesen - Heilerziehungspflege;2006-01-17 11:33:00;FS Sozialwesen - Heilerziehungspflege;86;8660;*****;********;**;**;**;1
240;3;102;00;S;SG;500;Ausgelaufen;FS Sozialwesen - Sozialpädagogik (berufsbegleitend);FS Sozialwesen - Sozialpädagogik (berufsbegleitend);2006-01-17 11:32:43;FS Sozialwesen - Sozialpädagogik (berufsbegleitend);86;8610;*****;********;**;**;**;1
240;3;999;00;S;SG;510;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2011-01-17 07:28:06;Sonstiger Bildungsgang;**;****;*****;********;**;**;**;1
250;3;101;00;T;AO;520;Ausgelaufen;FS Augenoptik;FS Augenoptik;2007-03-29 10:58:09;FS Augenoptik;30;3041;*****;********;**;**;**;1
250;3;102;01;T;IF;520;Ausgelaufen;FS Informatik - CNC-Systemtechnik;FS Informatik - CNC-Systemtechnik;2007-03-29 10:58:12;FS Informatik - CNC-Systemtechnik;77;7742;*****;********;**;**;**;1
250;3;102;02;T;IF;520;Ausgelaufen;FS Informatik - Computer- u. Kommunikationstechnik;FS Informatik - Computer- u. Kommunikationstechnik;2007-03-29 10:58:14;FS Informatik - Computer- u. Kommunikationstechnik;77;7742;*****;********;**;**;**;1
250;3;102;03;T;IF;520;Ausgelaufen;FS Informatik - Wirtschaft;FS Informatik - Wirtschaft;2007-03-29 10:58:25;FS Informatik - Wirtschaft;77;7742;*****;********;**;**;**;1
250;3;103;00;G;MD;520;Ausgelaufen;FS Mode;FS Mode;2006-01-17 11:34:14;FS Mode;83;8342;*****;********;**;**;**;1
250;3;105;00;S;SG;520;Ausgelaufen;FS Sozialswesen - Heilerziehungspflege (Integrierte Ausbildung);FS Sozialwesen - Heilerziehungspflege (Integrierte Ausbildung);2007-03-29 10:58:44;FS Sozialswesen - Heilerziehungspflege (Integrierte Ausbildung);86;8660;*****;********;**;**;**;1
250;3;104;01;S;SG;520;Ausgelaufen;Höhere FS für Sozialarbeit (Praxis);Höhere FS für Sozialarbeit (Praxis);2009-01-21 09:33:33;Höhere FS für Sozialarbeit (Praxis);86;8610;*****;********;**;**;**;1
250;3;104;00;S;SG;520;Ausgelaufen;Höhere FS für Sozialarbeit (Theorie);Höhere FS für Sozialarbeit (Theorie);2008-03-03 11:42:46;Höhere FS für Sozialarbeit (Theorie);86;8610;*****;********;**;**;**;1
250;3;999;00;X;XX;530;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2011-01-17 07:28:24;Sonstiger Bildungsgang;**;****;*****;********;**;**;**;1
260;3;101;00;T;AO;540;Ausgelaufen;FS Augenoptik;FS Augenoptik;2006-03-07 14:17:32;FS Augenoptik;30;3041;*****;********;**;**;**;1
260;3;999;00;X;XX;550;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2011-01-17 07:28:41;Sonstiger Bildungsgang;**;****;*****;********;**;**;**;1
270;3;101;00;S;SG;560;Ausgelaufen;FS - Berufspraktikum für Erzieher;FS - Berufspraktikum für Erzieherinnen;2013-01-24 09:26:10;FS - Berufspraktikum für Erzieher/-innen;**;****;*****;********;**;**;**;1
270;3;102;00;S;SG;560;Ausgelaufen;FS - Berufspraktikum für Sozialarbeiter;FS - Berufspraktikum für Sozialarbeiterinnen;2013-01-24 09:25:27;FS - Berufspraktikum für Sozialarbeiter/-innen;**;****;*****;********;**;**;**;1
